Consignee_Name,Location
ROYAL DOHA TRADING WLL,Qatar
Al Tayeb Distribution, United Arab Emirates
Datar Sons Ltd LLC,Somalia
Brisco Hospitality Supplies Pty Ltd, Australia
Harman Impex NZ Ltd, New Zealand
MS DATAR SONS LIMITED LLC,United Arab Emirates
Indya Foods Pty Ltd, Australia
Prince Foods UK Ltd, United Kingdom
Guangzhou Xing Zhu Food Technology Co Ltd,China

